"publishedTimeText","simpleText","votes","author","isReply","isHearted","isPinned","isPaid","paidAmount","isSponsor","sponsorshipMonths"
"3 weeks ago","Update : 20M dislikes","2","@tanishqjoshi9430","false","false","false","false","","false",""
"3 weeks ago","This video has 3.1M likes and 20M dislikes","2","@Randysarts","false","false","false","false","","false",""
"3 weeks ago","The worst video on YouTube","2","@SEGADreamcast-SEGA","false","false","false","false","","false",""
"3 weeks ago","there are more dislikes on this video than there are people in the entire country of romania","2","@iminediamonds","false","false","false","false","","false",""
"3 weeks ago","Why they stop making rewinds?","2","@Tsblearner_2","false","false","false","false","","false",""
"3 weeks ago","World Most Dislike Video 😮","2","@mrwriter03","false","false","false","false","","false",""
"3 weeks ago","20 Million Dislikes lol","2","@predatorpursuers115","false","false","false","false","","false",""
"3 weeks ago","What is happening","2","@ledestroyerofworlds9366","false","false","false","false","","false",""
"3 weeks ago","Just watched this today 5/12/2024 in Taguig City, Philippines🇵🇭","2","@joelendriga8343","false","false","false","false","","false",""
"3 weeks ago","Y FERNANFLOO NO SALIO ??? Y ESO QUE ES MAS FAMOSO QUE ELLOS EN ESE TIEMPO CREO","2","@cristhianaxelrangel2877","false","false","false","false","","false",""
"3 weeks ago","this is the best part of the video 8:14","2","@domsooch","false","false","false","false","","false",""
"3 weeks ago","Yeah","0","@Alleskoenner_31","true","false","false","false","","false",""
"3 weeks ago","erhm, what the sigma","2","@sandunderthetable","false","false","false","false","","false",""
"3 weeks ago (edited)","What's up brother ☝️ Is ""Nick Eh 30"" ""Sketch"" ??","2","@JusNoBS420","false","false","false","false","","false",""
"3 weeks ago","Fortnite.","2","@majimbo480","false","false","false","false","","false",""
"4 weeks ago","2024,still hated","2","@venu3040","false","false","false","false","","false",""
"4 weeks ago","The cringe of all the people in this video is unreal!","2","@JoshyJosh","false","false","false","false","","false",""
"4 weeks ago","This is the reason they removed dislikes","2","@thatoneguy3503","false","false","false","false","","false",""
"4 weeks ago","the only surprising thing is that is has 3 million likes","2","@taxterb","false","false","false","false","","false",""
"4 weeks ago","and 20 million dislike","2","@wholesome6287","true","false","false","false","","false",""
"4 weeks ago","Why us this so hated?","2","@dasein5170","false","false","false","false","","false",""
"4 weeks ago","It's so cringey","0","@lekevire","true","false","false","false","","false",""
"4 weeks ago","Everyone is hating here. Hate it.       Don't hate it. 👇.                     👇","2","@MrTrollFace6","false","false","false","false","","false",""
"4 weeks ago","I’m in 2024 now","2","@Boom-ii5jo","false","false","false","false","","false",""
"1 month ago","20M dislike","2","@hitmoh","false","false","false","false","","false",""
"1 month ago","Reminding people today that this Video have 19M dislikes or more now 😂😂","2","@Leon-mk1wn","false","false","false","false","","false",""
"1 month ago","20 mil","2","@PoliCarts","true","false","false","false","","false",""
